model,probe_split,snapshot_label,snapshot_epoch,direction,alpha,loss,loss_delta,base_loss,grad_norm,direction_l2_norm,delta_norm,weight_norm,relative_perturbation_norm
VGG-A,train_dev,epoch0,0,d_grad,-0.01,3.004580497741699,0.6947593688964844,2.309821128845215,0.48702821135520935,1.0,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_grad,-0.005,2.482982635498047,0.17316150665283203,2.309821128845215,0.48702821135520935,1.0,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_grad,-0.002,2.3706576824188232,0.0608365535736084,2.309821128845215,0.48702821135520935,1.0,0.14872844517230988,74.36421203613281,0.0020000002837392296
VGG-A,train_dev,epoch0,0,d_grad,-0.001,2.3430168628692627,0.03319573402404785,2.309821128845215,0.48702821135520935,1.0,0.07436422258615494,74.36421203613281,0.0010000001418696148
VGG-A,train_dev,epoch0,0,d_grad,0.0,2.309821605682373,4.76837158203125e-07,2.309821128845215,0.48702821135520935,1.0,0.0,74.36421203613281,0.0
VGG-A,train_dev,epoch0,0,d_grad,0.001,2.284816265106201,-0.025004863739013672,2.309821128845215,0.48702821135520935,1.0,0.07436422258615494,74.36421203613281,0.0010000001418696148
VGG-A,train_dev,epoch0,0,d_grad,0.002,2.2771687507629395,-0.03265237808227539,2.309821128845215,0.48702821135520935,1.0,0.14872844517230988,74.36421203613281,0.0020000002837392296
VGG-A,train_dev,epoch0,0,d_grad,0.005,2.2806310653686523,-0.0291900634765625,2.309821128845215,0.48702821135520935,1.0,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_grad,0.01,2.340522289276123,0.030701160430908203,2.309821128845215,0.48702821135520935,1.0,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_random,-0.01,2.309845209121704,2.4080276489257812e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_random,-0.005,2.309840440750122,1.9311904907226562e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_random,-0.002,2.3098301887512207,9.059906005859375e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.1487284153699875,74.36421203613281,0.0019999998829776057
VGG-A,train_dev,epoch0,0,d_random,-0.001,2.3098230361938477,1.9073486328125e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.07436420768499374,74.36421203613281,0.0009999999414888028
VGG-A,train_dev,epoch0,0,d_random,0.0,2.3098208904266357,-2.384185791015625e-07,2.309821128845215,0.48702821135520935,0.9999999403953552,0.0,74.36421203613281,0.0
VGG-A,train_dev,epoch0,0,d_random,0.001,2.309817314147949,-3.814697265625e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.07436420768499374,74.36421203613281,0.0009999999414888028
VGG-A,train_dev,epoch0,0,d_random,0.002,2.309814929962158,-6.198883056640625e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.1487284153699875,74.36421203613281,0.0019999998829776057
VGG-A,train_dev,epoch0,0,d_random,0.005,2.309809684753418,-1.1444091796875e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_random,0.01,2.3098039627075195,-1.71661376953125e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.7436421513557434,74.36421203613281,0.010000000416792089
