model,probe_split,snapshot_label,snapshot_epoch,alpha,perturbation_mode,base_loss,perturbed_loss,actual_delta,linear_pred_delta,relative_prediction_error,gradient_cosine_similarity,grad_norm,perturbed_grad_norm,grad_diff_norm,relative_gradient_change,delta_norm,weight_norm,relative_perturbation_norm,grad_lipschitz_estimate
VGG-A,train_dev,epoch0,0,0.0001,layer_normalized,2.309821128845215,2.306471347808838,-0.003349781036376953,-0.003459175815805793,0.03265729259341637,0.9821324814684175,0.48702821135520935,0.46630793809890747,0.09243877232074738,0.18980167917486004,0.007436420768499374,74.36421203613281,9.999999414888029e-05,12.43054625315412
VGG-A,train_dev,epoch0,0,0.0003,layer_normalized,2.309821128845215,2.3002798557281494,-0.00954127311706543,-0.01037752814590931,0.08764606343236962,0.9173131107910137,0.48702821135520935,0.44256356358528137,0.193963885307312,0.3982600612962158,0.022309264168143272,74.36421203613281,0.0003000000074942424,8.694320164278865
VGG-A,train_dev,epoch0,0,0.001,layer_normalized,2.309821128845215,2.2856998443603516,-0.02412128448486328,-0.034591756761074066,0.4340760660064049,0.5183868599806192,0.48702821135520935,0.36860835552215576,0.43237048387527466,0.887772974530893,0.07436421513557434,74.36421203613281,0.001000000041679209,5.814227758432124
VGG-A,train_dev,epoch0,0,0.003,layer_normalized,2.309821128845215,2.2762908935546875,-0.033530235290527344,-0.10377529263496399,2.0949765707215793,0.02402069844332568,0.48702821135520935,0.3324662744998932,0.5830535292625427,1.1971658225714121,0.22309263050556183,74.36421203613281,0.002999999924656815,2.6135042109694737
VGG-A,train_dev,epoch0,0,0.01,layer_normalized,2.309821128845215,2.317021131515503,0.007200002670288086,-0.34591758251190186,49.04409086393589,-0.19800004867762233,0.48702821135520935,1.1878529787063599,1.3701404333114624,2.8132670785104965,0.7436420917510986,74.36421203613281,0.00999999961526884,1.8424729429786721
VGG-A,train_dev,epoch1,1,0.0001,layer_normalized,1.643707275390625,1.631240963935852,-0.01246631145477295,-0.01310181524604559,0.0509776924456132,0.9962355983494409,2.1004552841186523,1.9227756261825562,0.24895253777503967,0.1185231314645671,0.007322490215301514,73.22490692138672,9.999999348804692e-05,33.99834352182725
VGG-A,train_dev,epoch1,1,0.0003,layer_normalized,1.643707275390625,1.6098488569259644,-0.033858418464660645,-0.03930544853210449,0.16087668339054662,0.9539225113974389,2.1004552841186523,1.5963925123214722,0.7503935098648071,0.3572527896872944,0.02196747064590454,73.22490692138672,0.00029999998046414077,34.15930408923547
VGG-A,train_dev,epoch1,1,0.001,layer_normalized,1.643707275390625,1.5717098712921143,-0.07199740409851074,-0.13101816177368164,0.8197623013520807,0.15726542445522354,2.1004552841186523,1.4856746196746826,2.3743674755096436,1.1304061045536251,0.07322490215301514,73.22490692138672,0.0009999999348804692,32.42568314462235
VGG-A,train_dev,epoch1,1,0.003,layer_normalized,1.643707275390625,1.7281105518341064,0.08440327644348145,-0.39305442571640015,5.656862177377667,-0.5250305887842692,2.1004552841186523,5.2368364334106445,6.586863040924072,3.1359215741114475,0.2196747064590454,73.22490692138672,0.0029999998046414075,29.984622021798764
VGG-A,train_dev,epoch1,1,0.01,layer_normalized,1.643707275390625,4.083000183105469,2.4392929077148438,-1.3101814985275269,1.5371152822130407,-0.3771335865806259,2.1004552841186523,24.73444366455078,25.600616455078125,12.188127330603994,0.7322490215301514,73.22490692138672,0.009999999348804692,34.961626034790115
VGG-A,train_dev,epoch5,5,0.0001,layer_normalized,0.9048187136650085,0.8911254405975342,-0.013693273067474365,-0.014251375570893288,0.04075742159444577,0.9978701362107398,2.726621150970459,2.5261340141296387,0.2636938989162445,0.0967108682562631,0.006920868530869484,69.20868682861328,9.999999780386175e-05,38.10127265675946
VGG-A,train_dev,epoch5,5,0.0003,layer_normalized,0.9048187136650085,0.867118239402771,-0.03770047426223755,-0.04275413602590561,0.134047697345018,0.9830194640692922,2.726621150970459,2.137730360031128,0.7380698323249817,0.2706902761545321,0.0207626074552536,69.20868682861328,0.0003000000203250442,35.54803190859472
VGG-A,train_dev,epoch5,5,0.001,layer_normalized,0.9048187136650085,0.8182451725006104,-0.0865735411643982,-0.14251378178596497,0.646158628481414,0.4820297132539944,2.726621150970459,1.3093312978744507,2.3889477252960205,0.8761568230502966,0.06920868903398514,69.20868682861328,0.0010000000318655354,34.51803174776104
VGG-A,train_dev,epoch5,5,0.003,layer_normalized,0.9048187136650085,0.9602551460266113,0.05543643236160278,-0.4275412857532501,8.712279949122054,-0.6672685125566244,2.726621150970459,5.379456043243408,7.479816913604736,2.7432549296195843,0.20762605965137482,69.20868682861328,0.0029999999879427703,36.025424391158346
VGG-A,train_dev,epoch5,5,0.01,layer_normalized,0.9048187136650085,5.227910995483398,4.32309228181839,-1.4251377582550049,1.3296570291244303,-0.5354627945459071,2.726621150970459,43.30024337768555,44.8194465637207,16.437724231607522,0.6920868754386902,69.20868682861328,0.010000000103347683,64.75985624682045
VGG-A,train_dev,epoch10,10,0.0001,layer_normalized,0.6982631087303162,0.6859056353569031,-0.012357473373413086,-0.012735920026898384,0.030624921620265862,0.9976649222171486,2.435718297958374,2.2932422161102295,0.21537603437900543,0.08842403268043526,0.00649861479178071,64.98614501953125,0.00010000000445983656,33.141837342229884
VGG-A,train_dev,epoch10,10,0.0003,layer_normalized,0.6982631087303162,0.6637730002403259,-0.034490108489990234,-0.0382077693939209,0.1077891913564032,0.9802068254796581,2.435718297958374,2.028333902359009,0.6012794375419617,0.24685918648554547,0.019495846703648567,64.98614501953125,0.0003000000492072455,30.841411849500986
VGG-A,train_dev,epoch10,10,0.001,layer_normalized,0.6982631087303162,0.6118878126144409,-0.08637529611587524,-0.12735924124717712,0.4744868842628406,0.657699882370418,2.435718297958374,1.4561197757720947,1.8405662775039673,0.7556564644797944,0.06498615443706512,64.98614501953125,0.0010000001449160258,28.322437193701564
VGG-A,train_dev,epoch10,10,0.003,layer_normalized,0.6982631087303162,0.6447651982307434,-0.053497910499572754,-0.38207775354385376,6.141919188542983,-0.40535364272567775,2.435718297958374,2.976414203643799,4.546334266662598,1.8665271228094595,0.19495846331119537,64.98614501953125,0.003000000434748078,23.319501956710013
VGG-A,train_dev,epoch10,10,0.01,layer_normalized,0.6982631087303162,2.253957509994507,1.5556944012641907,-1.273592233657837,1.818664792148695,-0.426607167694679,2.435718297958374,15.149452209472656,16.337751388549805,6.70757016615762,0.6498615145683289,64.98614501953125,0.010000000990565241,25.14035840297786
VGG-A,train_dev,epoch20,20,0.0001,layer_normalized,0.3277221918106079,0.32026931643486023,-0.007452875375747681,-0.007637783419340849,0.024810295928853913,0.9966990103684257,1.6497515439987183,1.5795280933380127,0.14877855777740479,0.0901824025069804,0.005871230736374855,58.712318420410156,9.999998116807187e-05,25.34026756190252
VGG-A,train_dev,epoch20,20,0.0003,layer_normalized,0.3277221918106079,0.3064904510974884,-0.021231740713119507,-0.02291334979236126,0.07920260057634622,0.9769094193577215,1.6497515439987183,1.4464198350906372,0.3892837464809418,0.23596507479992043,0.017613695934414864,58.712318420410156,0.0003000000069541082,22.10119601987293
